lable,text
5,من با نامزدم اولين مسافرتمون بود و خيلي خوش گذشت. هتل عالي بود
4,"دفعه دوم بود که به این هتل رفتیم، دفعه اول خیلی بهتر و تمیزتر بود. فرش کف اتاقها و رستوران خیلی کثیف شده و همین باعث شده که اتاقها بوی بدی بدهند. سرویس بهداشتی اتاق فرسوده شده و نیاز به تعمیر داره، سرویس دهی برای حرم اصلا مناسب نیست. کارکنان مودب و خوبی داره به جز آقایی که توی لابی به محض ورود برای پذیرایی شربت میاره، بد اخلاقه. دفعه اول که رفتیم این هتل، کافی شاپ خیلی تمیز بود ولی ایندفعه بو میداد و سفارشمون هم دیر آماده شد. ولی استخر تمیز و خوبی داره."
4,"هتل امکانات زیادی دارد. در قالب یک برورشور در هر اتاق قرار گیرد، از ساعت غذا و استخر و شیوه استفاده از سلف غذا خوری که مجبور به سوال کردن در خود سالن مشتری نباشد"
5,برخورد کارکنان بسیار خوب بود فقط بخش خانه داری کمی ضعیف است
5,همه چیز عالی بود
5,هتل فوق العاده عالی
4,به خصوص کیفیت غذاهای رستوران فیروزه و سازماندهی آن در هنگام صبحانه ناکافیست. نظافت اطاقها نیز قابل بهبودبخشی است.
4,"فضای خوب ومناسب داشت ولی کفیت غذا نسبت به قبل خیلی پایین اومد ،وتقریبا قیمت بالایی دارد"
5,خوب بود
1,هتل الماس 2 در اندازه 5 ستاره نیست حمام تمیز نبود حتی دمپایی وکیوم نبوده. کیفیت غذا پایین بود. لابی خیلی کوچک بود و در حد هتل 5 ستاره نبود .. پرده اتاق و نمیشد حرکت داد تا نور اتاق و کم کرد.....!!
5,مزایا: اینترنت رایگان. اطلاعات وای فای را پیامک کردند. نرم افزار جالب و کاربردی که با مانیتور قابل استفاده بود. تمیزی اتاق و ملافه ها فوق العاده بود. هر روز نظافت انجام می شد. مینی بار رایگان. استخر تمیز و رایگان. صبحانه عالی و درجه یک. پرسنل مودب و خوش برخورد معایب: پارکینگ با شیب غیر استاندارد به طوری که پرسنل مجبور به جابجا کردن ماشین بودند. و خیلی هم طول می کشید تا ماشین بیاید. دیوار ها عایق صدا نبود. صدای اتاق بغلی می آمد . یک بار آب خواستم با دو ساعت تاخیر آمد به طور یکه خوابم برد و وقتی آوردند از خواب بیدارم کردند. یک سوسک کوچک هم در دستشویی دیدم. داخل طرح ترافیک مشهد بود ولی اطلاع نداده بودند.
4,خوب بود
4,"همه چیز خوب بود، اما کیفیت غذای رستوران و قیمت آن خیلی افتضاح بود."
2,حوله های پاره
4,امید را میتوان در توسعه خدمات هتلداری در هتل الماس۲ دید.
5,خدمات و امکانات بسیار خوب و رضایت کامل دارم.
4,هتل خوبی بود..برخورد پرسنل می تونست گرم تر باشه....کیفیت غذا و تمیزی هتل عالی بود
4,هتل خوبی بود اما سروصدای کارکنان خارج از اتاق کمی آزاردهنده بود و بقیه موارد خوب بود راضی بودم
2,برای خودم بد نبود ولی بعد از من پسرم مراجعه کرد و بسیار با مشکل روبرو شد .و کارکنان بسیار ناهماهنگ بودند و ناشیانه برخورد کردند که منجر به کنسل شدن آن شد
4,"خوب بود ، نمیخوام شعار بدم ولی لذت بردم"
4,خوب
1,"فضای بسیار کوچک هتل ، عدم استفاده از مواد درجه یک در ساخت و تجهیز هتل که موجبات خرابی وسایل و امکانات داخل اطاقها و شنیدن صدای آهسته دیگر اطاقها در اطاق فرد می گردد ، منوی صبحانه بسیار ضعیف و دریغ از حداقل های هتل ۵ ستاره ، برخورد بسیار نامناسب مدیران رستوران ، عدم فضای کافی رستورانها به نحوی که مدام یکنفر در انتظار است"
5,قیمت غذای رستوران نسبت به جاهای دیگر بالا بود. کارکنان رستوران کمی ناهماهنگ و ناشی بودند. پارک خودرو مشکل و کارکنان پارکینگ کمی کند بودند.
4,کارکنان هتل مخصوصا در زمان صبحانه همکاری مناسبی نداشتند و معمولا هماهنگی لازم رو با هم نداشتند و همچنین کیفیت صبحانه در مقایسه با هتل های 5 ستاره مناسب نبود.
4,کارکنان بسیار مودب بودند . نسبت به نوساز بودن هتل موکتهای کف اتاق و وسایل چوبی زود فرسوده شده اند . ولی در کل خوب بود البته دمپایی حمام اصلا مناسب نبود وکف پا را درد می آورد.ضمنا استخر در مدت اقامت ما خراب بود
4,نکته منفی هتل این بود که سر وصدای بیرون و اتاقهای کناری بطور کامل داخل اتاق شنیده میشد.
5,برخورد كاركنان خوب است ولي جا دارد بخش پذيرش صميمي تر برخورد نمايد. تهويه دستشوييها و حمام نياز به بهبود دارد.
4,"اتاق و امکانات آن خوب بود اما به دلیل خلوت بودن هتل، تنوع صبحانه و سرو غذا در رستوران ضعیف بود. رستوران گردان هتل هم کار نمی کرد."
5,با سلام هتل بسیار خوب و با کیفیت پرسنل و سرویس دهی بسیار قابل قبول و خوب بود ممنون از زحمات شما
5,"عرض سلام و ادب و احترام، ممنون از مديريت و كاركنان هتل، همه چيز خيلي خوب بود ، ولي صبحانه ميتوانست از اين هم بهتر باشد سپاسگزارم"
4,کیفیت آسانسور ها مناسب نبود. صدای اتاق های مجاور مخل آسایش بود(دیوارها عایق بندی صدا نبودند). بقیه موارد و برخورد کارکنان مناسب بود.
5,"همه چیز بسیار خوب و عالی بود...تنها انتقادی که دارم که البته به کیفیت هتل مربوط نمیشه سر و صدای دائمی بود که بچه های اتاق رو به رویی ما در راه رو هتل ایجاد کرده بودن، ولی امیدوارم پرسنل هتل این موارد رو پیگیری کنن ."
5,"هتل به روز و با کیفیت عالی بود ، ولی به نظرم رستوران هتل باید کیفیت غذاها رو بالاتر ارائه بده ، حتی غذا گرم نبود ، سردی غذا کاملا معلوم بود !؟ برخورد کارکنان هتل خیلی خیلی خوب بود واقعا جای تشکر داشت که نشان از مدیریت خوب هتل داشت ."
5,بسیار عالی بود. همه چیز همه چیز عالی بود. شک نکنید
5,"داشتن استخر کودکان برای ما اهمیت زیادی داشت که در ایران 3 الی4 هتل این آپشن را دارند.اتاق های فول برد خصوصا"" صفوی که پر از آینه کاری بود و استاد کاران بسیار ماهر و هنر مند ایرانی وقت گذاشتن وطراحی کردن واقعا"" تحسین برانگیزه و به دلیل تخفیف مقرون به صرفه امیدوارم شیرازی های عزیز و مردم ایران لیاقت بهترین ها را داشته باشند."
5,برخورد پرسنل و کارکنان بعنوان میزبان و مدیریت قوی در ایجاد فضایی پویا میان میهمان و میزبان از نقاط قوت هتل بود.
5,"It was really great about all the services , Thank you so much."
5,"همه چی عالی. نحوه رفتار پرسنل ،تمیزی،آرامش،غذا،صبحانه بسیارعالی. درکل همه چی عالی باکیفیت سپاس"
5,"دلیل رضایت اینجانب ،فضای بسیار زیبا و کارکنان با اخلاق و وظیفه شناس هتل و همچنین امکانات بسیار بالا و لوکس اتاق ها می باشد"
5,دماي اتاق ها و تهويه مطبوع مناسب و قابليت تنظيم نداشت.
5,قیمت بعضی از غذاها نسبتا بالا بود.
4,در کل خوب بود لیکن موقعیت اطاق برلیان خوب نیست وصرفا متراژ اطاق بزرگتر می باشد وچه خوب است منبعد در خصوص موقعیت اطاق ها نیز اطلاع رسانی گردد .در کل زمانی که هتل ها تخفیف های زیادی را می دهند.همه جور مراجعه کننده ای بدون در نظر گرفتن درجه هتل وطریقه استفاده از امکانات وبه صورت کلی فرهنگ استفاده از هتل استفاده می نمایند.چه خوب است هتل ها نسبت به فرهنگ سازی برای مراجعه کنندگان نیز اقدام نمایند. برخورد پرسنل هتل بسیار خوب بود.
5,روف گاردن عالی بود رفتار رکارکنان هتل هم خیلی عالی بود. ای کاش سشوار دیواری داش داخل حمام
5,همه چی عالی بود وای فای داره ولی وصل نمیشد
4,"هتل خوبی بود اما مواردی وجود داشت از جمله اینکه اتاق بسیار گرم بود حتی با باز شدن پنجره هم مشکل رفع نشد بعد از اطلاع به پذیرش فرمودند سیستم سرمایشی آماده استفاده نیست، مورد دیگه اینکه مواد داخل یخچال گرم بود به شکلی که حتی آب معدنی هم از بیرون میگرفتیم، امکانات اتاق مثل میزها هم کمی کهنه به نظر می رسید با توجه به اینکه هتل نوساز است عجیب به نظر میرسه"
4,در كل خوب بود كيفيت غذا ها به نسبت قيمت مناسب نبود ساير امكانات خوب بود
5,مدیریت فوق العاده درامر آموزش شرح وظایف تمامی پرسنل در بخشهای مختلف کاملا مشهود باست که از بدو ورود احساس آرامش را به میهمانان منتقل میکند .ادب و متانت تمامی کارکنان کاملا چشمگیر بود
5,شایسته ستایش
5,پرسنل عالي بودن
4,سیستم سرمایش و گرمایش و تهویه اتاقها قابل تنظیم نبود و بسیاراتاقها گرم بود.
4,كاركنان عالي بود. استخر عالي بود. اتاق ها طراحي زيبايي داشت. فضاي سبز باز اصلا نداشت. از يك سمت صداي بيرون بسيار زياد ميامد حتي با وجود پنجره بسته اتاق. تهويه بعضي از اتاق ها در فصل هايي كه هوا رو به گرم شدن است مناسب نيست .البته خود مسئولان هتل قبول داشتند و اتاق ما رو عوض كردند.
4,هتل خوب و با آرامشی بود پرسنل خوش رفتار و مودبانه بودند صبحانه و ناهار خوب بودن در حد یک هتل 5 ستاره بود و اتاقی که در اختیار ما بود دارای جکوزی بود فقط تنها موردی که خیلی آزار دهنده بود برای پارک ماشین در پارکینگ هتل می بایست ماشین را می دادی به پرسنل ببرن پارک کنند و هر وقتی هم می خواستی از ماشین استفاده کنی حتما می بایست توسط پرسنل هتل ماشین را به بیرون هتل راهنمایی کنند
5,با سلام در صورت امکان بدلیل به وجود بیماریها ورود به اتاق با کفش را ممنون کرده
5,"ارتباط و برخورد كاركنان هتل درتمامي قسمت ها بسيار عالي بود فضاي هتل نيز از نظر آرامش ، نظافت ، رسيدگي به فضا ومحيط بسيار خوب بود"
5,هتل بسیار مجلل و عالی بود من در اتاق سبک ترک بودم خیلی تمیز بود برخورد کارکنان عالی بود استخر و سونای خیلی خوبی داشت فقط از لحاظ سیستم گرمایش داخل اتاق ضعیف بود و خیلی سرد بود
5,صبحانه بسیار خوب و بیاد ماندنی بود.خدمات هتل بسیار عالی بود .رضایت کامل حاصل شد .ماساژ و استخر هم عالی بود ولی قیمت ماساژ تند بود اما در مجموع عالی بود
5,با سلام و خسته نباشيد همه چيز خوب و عالي
5,بسیار شیک و خوب
4,به نظرم پرسنل نیاز به گذراندن دوره تشریفات دارند. برخی از پرسنل بسیار رفتار مودبانه دارند ولی برخی (تعداد اندک) در رفتار و گفتار نیاز دارند تا این دوره ها را برای کسب اطلاعات بیشتر و جذب مشتریان داخلی و خارجی بگذرانند. البته این موضوع پیشنهاد است جهت یکسان سازی رفتار پرسنل محترم و زحمت کش هتل.
4,"با سلام. از نظر موقعيت عالي، رستوران ها و غذاها عالي و صبحانه هم خوب بود برخورد پرسنل بسيار مناسب بود فضاي لابي هم جذاب بود اما نكاتي وجود دارد انتظار ميرفت كه در حمام وان داشته باشد كه پس از سوال كردن متوجه شديم برخي اتاق ها با قيمت بيشتر وان دارد كه پاسخشان متناسب با يك هتل ٥ ستاره نبود. در حمام جايي براي آويزان كردن حوله حمام نبود، بالشت ها مناسب نبود البته با يك تماس سريع و با برخورد بسيار مناسب تعويض شد، يكي ديگر موضوعاتي كه خورد تو ذوقمون اين بود كه ما برنامه ريزي كرديم صبح كه خانم ها ميرن استخر ما بريم اتاق بازي و پلي استيشن بازي كنيم ولي با وجود اينكه مسير متفاوتي داشت با توجه به اينكه در طبقه استخر بود از ورود آقايون ممانعت شد. در كل هتل خوبي بود و خوش گذشت."
4,اتاقهایی شیک و تمیز نسبت به هتلهایی دیگه در مشهد . رفتار کارکنان حرفه ای نیست . غذای رستورانش برای ناهار خوب نبود البته تذکر دادم بهشون چون گوشت ماهیچه خوب نبود . ولی به طور کل در مقایسه با هتلهای دیگه شرایط بهتری داره . قیمتهای خوبی هم داره
5,خيلي خوب و عالي هم راحتي هتل و برخورد عالي پرسنل فقط اگر مديريت قويتر براي طبقه ١٩ انتخاب كنند خيلي بهتر خواهد بود
5,"من به همراه خانواده در اين هتل اقامت داشتيم. از همه نظر هتل خيلي خوبي بود. نسبت به تجربه اي كه از هتل هاي ديگه داشتم، امكانات خوبي داشت. فقط قيمت غذاها كمي بالا بود. ولي برخورد كاركنان عالي، پاكيزگي اتاق، تنوع صبحانه بالا، دسترسي راحت و.... از ويژگي هاي مثبت اين هتل بود."
5,از نظر کلی هتل خوبی بود و بخصوص رفتار کارکنان در حد فوق العاده بود. در اقامت دو شبه واقعا احساس ارامش داشتم. اما پارکینگ خودرو مناسبی نداشت و فقط خود کارکنان هتل می تونستن ماشینو وارد و خارج کنند که اونم ریسک صدمه به خودرو به خاطر ورودی نامناسب خودرو زیاد بود صبحانه هتل هم به نظرم در حد بقیه امکانات نبود
5,همه چیز عالی و خوب بود
4,به نظر من معماري هتل زيبا بود نقشه و ويو رستوران فيروزه عالي بود كيفيت صبحانه عالي بود نظافت اتاق عالي بود و امكانات اتاق خوب بود اما فضاي آن بسيار كوچك و جاي تاسف بود كه توجهي به نور پردازي اتاق ها از نظر نور طبيعي و غير طبيعي نشده بود پنجره هاي كوچك اتاق از زيبايي ان بسيار كاسته بود و يكي از مشكلات بزرگ اين هتل انتخاب پرسنل پذيرش هتل بود از لحاظ نحوه برخورد و پيگيري امور مربوط به ميهمانان فوق العاده ضعيف اميدوارم كه با در نظر گرفتن اين نظر خاطرات بهتري در سفرهاي آينده از اين هتل داشته باشيم
4,"هتل الماس دو از نظر زيبايي و تميزي لابي و اتاق ها در حد قابل قبول و عالي بود، نور پردازي و رفتار پرسنل عالي، رستوران فيروزه جهت سرو صبحانه و ناهار عالي، روف گاردن مجموعه خوب، و ديزاين هتل و راه رو هاي طبقات عالي مي باشد، خدمات دهي بخش ٥ عالي جهت رسيدگي به امور، تنها نقطع ضعف اين هتل به علت اقامت داشتن در اتاق برليان با اينكه طبقه ١٤بوديم ولي اصلا ديد به بيرون نداشت و پنجره ها مات،در صورتي كه به ما گفتن ديد مشجر ولي بدون ديد بودن و سيستم گرمايشي فقط دماي ٣٣ رو انجام ميداد و بايد خاموش ميشد،در كل اقامت خوبي داشتيم"
5,به طور کلی همه چی عالی بود به خصوص رفتار پرسنل . اما در هنگام ورود نوشیدنی ول کام نیووردن و رفتار پرسنل استخر مثل بقیه نبود.هنگام صبحانه یک گروهه 150 نفره اومدن که خیلی شلوغ شد و همهمه ایجاد کردن. صبحونه هم دیر به دیر شارژ می شد. ولی به طور کلی خوب بود . من در اتاق به سبک عربی بودم و طراحی فضا عالی بود.
2,من به مدت يك شب همراه پسرم در اين هتل اقامت داشتم تهويه اتاقها مشكل داشت و خيلي خيلي گرم و بد بود و گفتند كه روي يك دماي ثابتي تنظيم شده .خيلي اذيت شديم و اصلا نتونستيم شب بخوابيم .
4,ایشالا دوباره ببینیمتون و بیشتر خوش بگذره
5,هتل از همه لحاظ عالی بود طراحی داخلی اتاقها بسیار جالب و خلاقانه بود که در کمتر هتلی در ایران دیده میشه برخورد کارکنان بسیار عالی و حرفه ای بود که واقعا جای تقدیر داره کیفیت صبحانه خوب بود اما در انتخاب نوع غذاها میشه بهتر از این عمل کرد.
5,"من اين هتل رو براى مهمانان خودم رزرو كردم ، بسيار عالى خيلى ممنونم از پذيرايى گرم و خوبتون همه چى در سطح عالى"
4,رسيدگي خوبي داره تنها ايرادش اينه كه اقامت به ارگانها هم ميده و به نظر من اين از كيفيت هتل كم ميكنه و وجهه ي هتل را شبيه به هتل چهار ستاره ميكنه صبحانه خوب و كامل بود
5,همه چیز عالی
4,هتل خیلی خوبیه...من هر سری همین هتل میرم چون ملاک انتخابم نظافته...البته کیفیت غذا اصلا خوب نبود...ولی صبحانه مناسب بود
5,ما سوییت پرزیدنت باستانی با صبحانه ونهار وشام را رزرو کردیم و از خدمات هتل مثل استخر و کافی شاپ و ...را رایگان استفاده کردیم سوییت ما طبقه 17 ام و با منظره حرم بود.همه چیز عالی بود در مورد غذا هر چند منوی انتخابی بود و لیکن بنده ترجیح می دادم تا سلف سرویس باشد .تا غذا اسراف نشود.
5,پرسنل خیلی مودب و کار راه اندازی دارن و اینکه خیلی به نظرات و خواسته های ما اهمیت دادن و برامون فراهم کردن .هتل پولکی نبود که بابت هر چیزی وجه پرداخت شه
5,همه کارکنان خوب بودند و استخر فوق العاده بود
5,همه چی بسیار عالی بود. بجز اینه یک مقدار هزینه غذا بالا بود.
5,"اتاق، خدمات، قيمت و برخورد ها بسيار عالي بود"
5,هتل بسیار زیبا با دیزاین متفاوت در اتاقها و راهرو . لابی مجلل. استخر استثنایی و فوق العاده . رفتار کارکنان بسیار مودبانه و مهربان بودند . کیفیت صبحانه واقعا عالی و بسیار متنوع بود . اتاقها تمیز بودند ..... نقاط ضعف: شیرآلات حمام و سرویس خوب نبود ضمن اینکه تخت و بالشها میتونستند بهتر از این باشد
4,"با سلام.بطور کلی و خلاصه هتل خوبی است و کارکنان هم برخورد خوبی داشتند.قیمت ان در صورت تخفیف خوب است ، اما به نظر من انتظارات شما از یک هتل پنج ستاره را براورده نمیکند ،اتاقهای الماس کوچک هستند،بالشتها بزرگ بودند و راحت نبودند،تمیزی اتاقها قابل قبول است و نهایتا مثل هتل چهار ستاره در نظر بگیرید.با تشکر."
5,اتاق سبك تركيه بسيار زيبا و لوكس بود صبحانه و نهار بي نهايت عالي و برخورد كاركنان بسيار مهربان و مودبانه بود. بي نهايت عالي بود
5,تنها مشکل هتل غدای بی کیفیتش بود
5,هتل بسیار شیک و خوبی بود. صبحانه بسیار عالی و کامل بود. قیمت غذاها به نسبت بالا هست. رفتار کارکنان هم خیلی خوب بود. در کلی به همه پیشنهاد میکنم رفتن به این هتل رو. از نظر امکانات بسیار عالی بود. تنها نکته منفی قیمت بالای رستوران های هتله
5,"به جز اینکه اتاق ها پریز با دوشاخه برق ایران در دسترس و در کنار تخت نداشت و سرویس رایگان داخل اتاق شامل اقلامی مثل نسکافه و ... نبود، باقی موارد بسیار عالی بود. طراحی زیبای محیط های عمومی و فضای اتاق، متریال سطح بالا، کیفیت سرویس دهی، کیفیت غذای رستورانها، همگی عالی"
4,در کل بد نبود ولی صبحانه در اندازه هتل ۵***** نبود
5,بسیار عالی
5,"پذیرش، رفتار پرسنل، بوفه صبحانه و کیفیت و تزئین اتاقها بسیار عالی بود. سه مشکل مهم، اول اینکه در فصل سرما، به دلیل قطع برق اتاق پس از خروج، در ساعاتی که مهمان درون اتاق حضور ندارد، دمای اتاق به میزان زیادی افت می نماید. مشکل دوم، اینکه در زمان حضور ما در هتل، دو عدد از آسانسورها غیرفعال بودند و مشکل ایجاد می شد. سوم اینکه مینی بار اتاق اگر رایگان بود بهتر بود."
4,اطاق هاى دوتخته كوچك ميباشد تميزى اطاق هادر حد قابل قبول است نماى كانال آسانسور ها بعلت شيشه اى بودن آن بسيار زشت وناهماهنگ وكثيف است برخورد كاركنان خوب است صبحانه هتل خوب وكامل است بالش ها هم مانند پشتى ميماند به اميد موفقيت روزافزون مدير هتل
4,نسبت به هزینه ی هتل انتظار کیفیت بهتری از غذا و سرویس دهی داشتیم. ولی درکل خوب بود.
5,با سلام وخسته نباشید ...تمام امکانات هتل عالی بود فقط از مدیریت محترم خواهشمندم به پرسنل خانم پذیرش هنگام تخلیه اتاق نوع برخورد با مشتری را آموزش دهند متاسفانه نوع برخورد با اینجانب بد...با سپاس فراوان
5,ممنون از کارکنان هتل با اینکه ما ساعت ۷ صبح رسیدیم هتل ما رو پذیرش کردن این رفتار واقعا حرفه ای بود و مشتری مدارانه. برخورد و سرعت عمل کارکنان عالی بود از لحاظ نظافت و پاکیزگی عالی بود و شاید تنها ایرادی که تونستم از این هتل بگیرم این باشه که یخچال داخل اتاق کیفیت جالبی نداشت ولی با این حال انتخاب من در سفر بعد هم هتل الماس۲ خواهد بود.
5,همه چی بسیار عالی
4,پذیرش و برخورد پرسنل خوب بود بوفه صبحانه در سطح یک هتل ۵ ستاره نیست
3,رفتار کارکنان در حد هتل ۳ ستاره بود سرویس دهی خیلی ضعیف بود و این یه تبلیغ خیلی بد برای هتل هست ‌از بابت صبحانه خیلی خلاصه و مختصر بود
4,تنوع سرو صبحانه اصلا مناسب هتل نبود خيلي چيزهاي مهم براي صبحانه رو ميز نبودغذاهاي به كار رفته بود كه اصلا مناسب صبح نبود
5,"اتاق بسیار تمیز و شیک، امکانات کامل حتی کتری برقی هم داخل اتاق هست که بسیار مفیده. لابی و راهرو و آسانسور بسیار تمیز، استخر فوق العاده تمیز و شیک. صبحانه بسیار کامل و عالی. کلا هیچ ایرادی نمیشه از این هتل گرفت.عالی عالی عالی. امیدوارم هتل سالهای سال همینطور تمیز بمونه و تخفیف های ویژه ادامه دار باشه."
4,کارکنان عالی ولی اتاقها کوچک هستند
4,ازنظربرخوردکارکنان عالی بود
4,"بنده سفر دومم با خانواده به هتل الماس٢ بود، اين سفر اتاق پرزيدنت رو كه شامل صبحانه نهار و شام و استفاده كاملا رايگان از كافى شاپ بود را رزرو كردم، واقعا از همه لحاظ درجه يك، اتاق بسيار زيبا با چشم انداز بسيار عالى و بينظير، استخر و سوناى فوق العاده تميز،مخصوصا برخورد خوب كاركنان و عوامل هتل، پاسوخگويى و سرويس دهى عالى، صبحانه عالى اما متاسفانه و متاسفانه از لحاظ نهار و شام غذاى خيلى بى كيفيت كه واقعا ناراحت كننده بود.. ''اميدوارم مسئولين هتل اين ضعف را برطرف كنند'' دركل دراين هتل ميشود ين سفر خوب و به يادماندنى را با خانواده تجربه كرد.."
5,"به جز موارد ذیل , بقیه موارد عالی بود 1-رستوران گردان کار نمیکرد. 2-بخش بیرونی آسانسور تمیز(تکه های کابل وسنگ و.. ریخته بود) نبوده ودر کلاس هتل 5 ستاره نبود. بهتر است در سایت هتل اتاقهای موجود در هر طبقه معرفی گردد. 3- ساعت روی مونیتور داخل آسانسور زمان را درست نشان نمیداد,"
5,بنظر باید اموزش دهی نسبت به کارکنان هتل تقویت شود
5,بسيار لاكچري و نايس بود ولي بنظر ميتوان سرويس دهي توسط پرسنل را تقويت بخشيد
5,Hi Everything was good and satisfactory in Almas Hotel 2. Thanks indeed
5,همه چی عالی و بی نظیر بود وقطعا دوباره در مشهد همین هتل رو انتخاب میکنم مشروط به اینکه قیمتها را بالا نبرند و همینطور منصفانه باشد. با سپاس فراوان
5,امکانات و سرویس و کارکنان هتل عالی بودن . شاید یه مواردی در ارتباط با غذا و صبحانه در حد سایر مسایل نبود
5,رضایت کامل از بدو ورود با استقبال صمیمانه کارکنان تا زمان خروج
5,صبحانه اي معمولي در فضائي لوكس ولي كوچك
4,همه چيز اوكي بود
4,صبحانه خیلی سرد و ناقص بود؛ کیفیت شاپو و صابون پایین بود هیچگونه سرویس دهی به حرم صورت نگرفت
5,ما در اتاقهای امپریال اقامت داشتیم و کاملا از هتل و سرویس و خدماتش راضی هستیم قطعا هتل الماس دو انتخاب مجدد ما برای سفر به مشهد خواهد بود
5,همه چی از لحظه ی ورود عالی بود تا لحظه ی خروج علاوه بر زیبایی و نظافت عالی هتل کارکنان و خدمه ی هتل رفتار بسیار عالی و خوبی داشتن
4,اتاقها زیبا و با دکوراسیون قشنگ اما کوچک است آسانسورها بعضی وقتها خیلی طول می کشید تا بیاید ولی در کل خوب بود.
5,کیفیت غذا متاسفانه به نسبت تمامی خدمات هتل بسیار پایین بود
5,عالی و لاکچری
5,"الماس ٢ يكى از ٣ تا بهترين هتل هاى مشهد هست من همه هتل ٥ ستاره مشهد رفتم ولى اتاقهاى امپريال الماس ٢ از نظر طراحى و امكانات بهترين بوده ، كاركنان هم عالى ⭐️⭐️⭐️⭐️⭐️"
5,با طراحى هاى مدرن و زيبا
4,هتل خوب و شیک و تمیزی است کارکنان خوبی داره رستورانها و صبحانه خوبی داره ولی چند مورد هم هست اگر اصلاح شود بهتر است ۱- موکتها تمیز نبود ۲-یخچال اصلا خنک نمیکرد ۳-روی تختها ملافه نبود ۴-پتو سنگین بود ۵-بالشت اینقدر بزرگ بود که عملا غیر قابل استفاده بود ۶-هنگام ورود میهمان پذیرایی نداشتند ۷-در دستشویی مایع دست شویی نبود نقات قوت هتل ۱- برخورد خوب کارکنان ۲-تراتسفر خوب ۳-کیفیت غذا خوب بود ۴-مجموعه استخر عالی ۵-ارامش هتل ۶-با اینکه تحویل اطاق ۳ بعداز ظهر بود ولی ساعت ۱۲ به ما تحویل دادن ۷-سرعت نت عالی ۸- برنامه های داخلی تی وی عالی بود
4,نحوه برخورد و همکاری پرسنل هتل بسیار خوب بود و مشخص بود که آموزش دیده هستند کیفیت غذای هتل بسیار مناسب بود فقط قیمت بار به نظر من بالا بود و همچنین روز جمعه فقط بوفه داشت که قیمتش 85000تومان برای هر نفر بود که به نظرم مناسب نبود کیفیت غذا های فست فود کافی شاپ هم بسیار خوب بود طراحی هتل بسار خوب و زیبا بود ولی در اجرا دقت لازم انجام نشده و مصالح با کیفیت استفاده نشده در های اتاق ها از نظر عایق صوتی خوب نیست و کیفیت کارانجام شده در هتل مناسب یک هتل پنج ستاره نیست تهویه مطبوع و دمای اتاق ها مناسب نبود وقتی سیستم تهویه مطبوع از طریق سیستم مرکزی روی حالت گرما قرار داده میشه بعضی اتاق ها که گرم تر هستند امکان تغییر حالت روی هوای سرد رو ندارند و فقط میتونن دستگاه رو خاموش کنن واین باعٍث مشه اتاق های پشتی و میانی گرم و آزاردهنده باشند سرویس هتل به حرم هم تقربا وجود نداره چون هتل یک ماشین به ترانسفر فرودگاهی و سرویس حرم اختصاص داده و معمولا یا میگن ماشین نداریم یا الان وقت ترانسفر نیست یا بهانه های مختلف میارن فکر میکنم پرسنل سرویس علاقه ای به انجام این تعهد ندارن سرویس ترانسفر خوب بود ولی برای برگشت ماشین جا نداشت و یکم به زور نشستیم و از قبل مدیریت نمیشه که تعداد افرادی که در هر ساعت باید ترانسفر بشن از ظرفیت سرویس بیشتر نشه
4,دارای کارکنانی دلسوز و با روابط عمومی خوب می باشند اما مدیریت اجرایی هتل ضعیف می باشد برای صرف صبحانه به علت عدم نظارت کافی فقط مونده بود صف تشکیل شه برای خروج از هتل برنامه مشخصی وجود ندارد اطلاع رسانی برای امکانات هتل ضعیفه نمی دونه چی کجاست با چه قیمتی
2,هتل الماس ازنظر پذیرایی فوق العاده ضعیف و ازاد نبودن میهمان در رستورانها بعلت داشتن برنامه بوفه در ایام تعطیل و عدم ترانسفر قوی در هدایت میهمانان
5,هتل باطراحی زیبا
5,هتلی با معماری زیبا و کارکنان خوب با مدیریت عالی
4,بغير از مشكل تهويه اتاق ولابي كوچك هتل بقيه موارد خوب بود
4,امکانات و فضای اتاق ها خیلی خوب بود. در زمان سرویس دهی اتاقها حتما دمپایی یا روفرشی در اتاقها گذاشته شود و نیاز به درخواست مسافر نباشد. موكت اتاقها احتياج به نظافت با سطح بالاتري دارد.
5,خیلی عالی
